idcidade,Municipio,idm_ioibge,Area_MUN,idestado,estado,idmicro,mic_regiao,idmeso,mes_regiao,capital,populacao,fonte,NomeDSEI,StatusDSEI,NumDSEI
BR350910,Caiuá,3509106,551.158,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,5560,IBGE (2015), ,,0
BR351100,Castilho,3511003,1065.318,BR35,SP,BR35016,Andradina,BR3503,Araçatuba,0,19873,IBGE (2015), ,,0
BR351440,Dracena,3514403,487.688,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,45847,IBGE (2015), ,,0
BR351530,Estrela do Norte,3515301,264.987,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,2761,IBGE (2015), ,,0
BR351535,Euclides da Cunha Paulista,3515350,573.894,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,9642,IBGE (2015), ,,0
BR352870,Marabá Paulista,3528700,919.519,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,5435,IBGE (2015), ,,0
BR353020,Mirante do Paranapanema,3530201,1238.931,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,17979,IBGE (2015), ,,0
BR353160,Monte Castelo,3531605,233.547,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,4188,IBGE (2015), ,,0
BR353220,Narandiba,3532207,357.326,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,4657,IBGE (2015), ,,0
BR353310,Nova Guataporanga,3533106,34.158,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,2288,IBGE (2015), ,,0
BR353480,Ouro Verde,3534807,266.77,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,8330,IBGE (2015), ,,0
BR353540,Panorama,3535408,356.057,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,15458,IBGE (2015), ,,0
BR353640,Paulicéia,3536406,374.091,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,6981,IBGE (2015), ,,0
BR353830,Piquerobi,3538303,482.77,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,3679,IBGE (2015), ,,0
BR354120,Presidente Bernardes,3541208,749.234,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,13568,IBGE (2015), ,,0
BR354130,Presidente Epitácio,3541307,1260.281,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,43535,IBGE (2015), ,,0
BR354150,Presidente Venceslau,3541505,755.203,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,39407,IBGE (2015), ,,0
BR354323,Ribeirão dos Índios,3543238,196.446,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,2245,IBGE (2015), ,,0
BR354425,Rosana,3544251,744.011,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,18459,IBGE (2015), ,,0
BR354550,Sandovalina,3545506,455.856,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,4076,IBGE (2015), ,,0
BR354710,Santa Mercedes,3547106,166.753,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,2937,IBGE (2015), ,,0
BR354770,Santo Anastácio,3547700,552.876,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,21044,IBGE (2015), ,,0
BR354930,São João do Pau D'Alho,3549300,117.665,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,2141,IBGE (2015), ,,0
BR355390,Tarabai,3553906,201.385,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,7168,IBGE (2015), ,,0
BR355430,Teodoro Sampaio,3554300,1555.803,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,22675,IBGE (2015), ,,0
BR355510,Tupi Paulista,3555109,244.77,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,15153,IBGE (2015), ,,0
BR420010,Abelardo Luz,4200101,953.058,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,17717,IBGE (2015),Interior Sul,Integral,1
BR420050,Águas de Chapecó,4200507,139.832,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,6379,IBGE (2015), ,,0
BR420055,Águas Frias,4200556,76.14,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2408,IBGE (2015), ,,0
BR420075,Alto Bela Vista,4200754,103.98,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,1987,IBGE (2015), ,,0
BR420080,Anchieta,4200804,231.991,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,5987,IBGE (2015), ,,0
BR420127,Arabutã,4201273,133.295,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,4276,IBGE (2015),Interior Sul,Integral,1
BR420165,Arvoredo,4201653,90.769,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,2271,IBGE (2015),Interior Sul,Integral,1
BR420208,Bandeirante,4202081,147.912,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,2808,IBGE (2015), ,,0
BR420209,Barra Bonita,4202099,93.108,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,1790,IBGE (2015), ,,0
BR420215,Belmonte,4202156,92.866,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,2700,IBGE (2015), ,,0
BR420253,Bom Jesus,4202537,63.469,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,2821,IBGE (2015),Interior Sul,Integral,1
BR420257,Bom Jesus do Oeste,4202578,67.093,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2156,IBGE (2015), ,,0
BR420310,Caibi,4203105,174.839,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,6243,IBGE (2015), ,,0
BR420350,Campo Erê,4203501,479.093,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,8993,IBGE (2015), ,,0
BR420390,Capinzal,4203907,244.2,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,22129,IBGE (2015), ,,0
BR420400,Catanduvas,4204004,197.297,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,10374,IBGE (2015), ,,0
BR420410,Caxambu do Sul,4204103,140.708,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,4028,IBGE (2015),Interior Sul,Integral,1
BR420420,Chapecó,4204202,626.06,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,205795,IBGE (2015),Interior Sul,Integral,1
BR420430,Concórdia,4204301,799.449,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,72642,IBGE (2015), ,,0
BR420435,Cordilheira Alta,4204350,82.858,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,4184,IBGE (2015),Interior Sul,Integral,1
BR420440,Coronel Freitas,4204400,233.968,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,10201,IBGE (2015),Interior Sul,Integral,1
BR420445,Coronel Martins,4204459,107.299,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,2534,IBGE (2015), ,,0
BR420470,Cunha Porã,4204707,217.915,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,10982,IBGE (2015),Interior Sul,Integral,1
BR420475,Cunhataí,4204756,55.768,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,1943,IBGE (2015), ,,0
BR420490,Descanso,4204905,287.395,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,8505,IBGE (2015), ,,0
BR420500,Dionísio Cerqueira,4205001,379.236,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,15339,IBGE (2015), ,,0
BR420517,Entre Rios,4205175,104.549,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,3151,IBGE (2015),Interior Sul,Integral,1
BR420530,Faxinal dos Guedes,4205308,339.699,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,10771,IBGE (2015),Interior Sul,Integral,1
BR420535,Flor do Sertão,4205357,58.735,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,1600,IBGE (2015), ,,0
BR420543,Formosa do Sul,4205431,100.105,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2576,IBGE (2015), ,,0
BR420560,Galvão,4205605,139.341,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,3217,IBGE (2015), ,,0
BR420640,Guaraciaba,4206405,330.57,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,10374,IBGE (2015), ,,0
BR420660,Guarujá do Sul,4206603,100.219,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,5097,IBGE (2015), ,,0
BR420665,Guatambú,4206652,205.874,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,4739,IBGE (2015),Interior Sul,Integral,1
BR420760,Ipira,4207601,154.565,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,4637,IBGE (2015), ,,0
BR420765,Iporã do Oeste,4207650,199.302,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,8823,IBGE (2015), ,,0
BR420768,Ipuaçu,4207684,260.893,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,7262,IBGE (2015),Interior Sul,Integral,1
BR420770,Ipumirim,4207700,247.717,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,7499,IBGE (2015),Interior Sul,Integral,1
BR420775,Iraceminha,4207759,163.105,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,4139,IBGE (2015), ,,0
BR420780,Irani,4207809,325.737,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,10118,IBGE (2015), ,,0
BR420785,Irati,4207858,78.276,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2025,IBGE (2015), ,,0
BR420800,Itá,4208005,165.869,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,6347,IBGE (2015),Interior Sul,Integral,1
BR420840,Itapiranga,4208401,283.031,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,16398,IBGE (2015), ,,0
BR420860,Jaborá,4208609,182.154,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,4023,IBGE (2015), ,,0
BR420895,Jardinópolis,4208955,67.683,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,1672,IBGE (2015), ,,0
BR420900,Joaçaba,4209003,242.11,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,29008,IBGE (2015), ,,0
BR420917,Jupiá,4209177,92.055,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,2142,IBGE (2015), ,,0
BR420920,Lacerdópolis,4209201,68.89,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,2246,IBGE (2015), ,,0
BR420945,Lajeado Grande,4209458,65.284,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,1470,IBGE (2015),Interior Sul,Integral,1
BR420985,Lindóia do Sul,4209854,188.636,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,4644,IBGE (2015), ,,0
BR421003,Luzerna,4210035,118.382,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,5701,IBGE (2015), ,,0
BR421050,Maravilha,4210506,171.284,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,24345,IBGE (2015), ,,0
BR421055,Marema,4210555,104.066,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,1999,IBGE (2015),Interior Sul,Integral,1
BR421090,Modelo,4210902,91.106,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,4169,IBGE (2015), ,,0
BR421100,Mondaí,4211009,202.145,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,11189,IBGE (2015), ,,0
BR421140,Nova Erechim,4211405,64.892,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,4729,IBGE (2015), ,,0
BR421145,Nova Itaberaba,4211454,137.547,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,4339,IBGE (2015),Interior Sul,Integral,1
BR421165,Novo Horizonte,4211652,151.852,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2606,IBGE (2015), ,,0
BR421180,Ouro,4211801,213.575,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,7399,IBGE (2015), ,,0
BR421185,Ouro Verde,4211850,189.224,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,2263,IBGE (2015),Interior Sul,Integral,1
BR421187,Paial,4211876,85.757,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,1637,IBGE (2015),Interior Sul,Integral,1
BR421200,Palma Sola,4212007,330.104,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,7652,IBGE (2015), ,,0
BR421210,Palmitos,4212106,352.504,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,16262,IBGE (2015),Interior Sul,Integral,1
BR421223,Paraíso,4212239,181.843,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,3763,IBGE (2015), ,,0
BR421227,Passos Maia,4212270,619.156,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,4314,IBGE (2015),Interior Sul,Integral,1
BR421260,Peritiba,4212601,95.842,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,2906,IBGE (2015), ,,0
BR421290,Pinhalzinho,4212908,128.159,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,18696,IBGE (2015), ,,0
BR421310,Piratuba,4213104,145.976,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,4316,IBGE (2015), ,,0
BR421315,Planalto Alegre,4213153,62.461,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2803,IBGE (2015),Interior Sul,Integral,1
BR421340,Ponte Serrada,4213401,564.489,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,11452,IBGE (2015),Interior Sul,Integral,1
BR421390,Presidente Castello Branco,4213906,65.605,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,1650,IBGE (2015), ,,0
BR421415,Princesa,4214151,86.18,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,2877,IBGE (2015), ,,0
BR421420,Quilombo,4214201,280.258,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,10149,IBGE (2015),Interior Sul,Integral,1
BR421507,Riqueza,4215075,191.907,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,4740,IBGE (2015), ,,0
BR421520,Romelândia,4215208,222.574,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,5220,IBGE (2015), ,,0
BR421535,Saltinho,4215356,156.531,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,3897,IBGE (2015), ,,0
BR421555,Santa Helena,4215554,81.229,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,2309,IBGE (2015), ,,0
BR421568,Santa Terezinha do Progresso,4215687,118.805,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2666,IBGE (2015), ,,0
BR421569,Santiago do Sul,4215695,73.836,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,1365,IBGE (2015), ,,0
BR421575,São Bernardino,4215752,149.02,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2545,IBGE (2015), ,,0
BR421600,São Carlos,4216008,161.292,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,10944,IBGE (2015), ,,0
BR421610,São Domingos,4216107,367.203,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,9516,IBGE (2015),Interior Sul,Integral,1
BR421625,São João do Oeste,4216255,163.304,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,6260,IBGE (2015), ,,0
BR421670,São José do Cedro,4216701,281.253,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,13901,IBGE (2015), ,,0
BR421690,São Lourenço do Oeste,4216909,356.316,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,23245,IBGE (2015), ,,0
BR421715,São Miguel da Boa Vista,4217154,71.405,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,1872,IBGE (2015), ,,0
BR421720,São Miguel do Oeste,4217204,234.036,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,38984,IBGE (2015), ,,0
BR421730,Saudades,4217303,206.596,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,9524,IBGE (2015),Interior Sul,Integral,1
BR421750,Seara,4217501,310.981,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,17439,IBGE (2015),Interior Sul,Integral,1
BR421755,Serra Alta,4217550,92.348,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,3312,IBGE (2015), ,,0
BR421775,Sul Brasil,4217758,112.872,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2624,IBGE (2015), ,,0
BR421795,Tigrinhos,4217956,57.944,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,1720,IBGE (2015), ,,0
BR421875,Tunápolis,4218756,133.291,BR42,SC,BR42001,São Miguel do Oeste,BR4201,Oeste Catarinense,0,4628,IBGE (2015), ,,0
BR421885,União do Oeste,4218855,92.617,BR42,SC,BR42002,Chapecó,BR4201,Oeste Catarinense,0,2700,IBGE (2015), ,,0
BR421910,Vargeão,4219101,166.648,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,3590,IBGE (2015),Interior Sul,Integral,1
BR421917,Vargem Bonita,4219176,298.498,BR42,SC,BR42004,Joaçaba,BR4201,Oeste Catarinense,0,4674,IBGE (2015), ,,0
BR421950,Xanxerê,4219507,377.764,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,48370,IBGE (2015),Interior Sul,Integral,1
BR421960,Xavantina,4219606,216.688,BR42,SC,BR42005,Concórdia,BR4201,Oeste Catarinense,0,4067,IBGE (2015),Interior Sul,Integral,1
BR421970,Xaxim,4219705,293.279,BR42,SC,BR42003,Xanxerê,BR4201,Oeste Catarinense,0,27630,IBGE (2015),Interior Sul,Integral,1
BR421985,Zortéa,4219853,189.717,BR42,SC,BR42009,Curitibanos,BR4203,Serrana,0,3227,IBGE (2015), ,,0
BR430003,Aceguá,4300034,1547.956,BR43,RS,BR43031,Campanha Meridional,BR4306,Sudoeste Rio-Grandense,0,4702,IBGE (2015), ,,0
BR430005,Água Santa,4300059,291.902,BR43,RS,BR43010,Passo Fundo,BR4301,Noroeste Rio-Grandense,0,3840,IBGE (2015),Interior Sul,Integral,1
BR430010,Agudo,4300109,536.114,BR43,RS,BR43019,Restinga Seca,BR4303,Centro Ocidental Rio-Grandense,0,17120,IBGE (2015), ,,0
BR430020,Ajuricaba,4300208,323.239,BR43,RS,BR43008,Ijuí,BR4301,Noroeste Rio-Grandense,0,7387,IBGE (2015), ,,0
BR430030,Alecrim,4300307,316.736,BR43,RS,BR43001,Santa Rosa,BR4301,Noroeste Rio-Grandense,0,6865,IBGE (2015), ,,0
BR430040,Alegrete,4300406,7803.954,BR43,RS,BR43029,Campanha Ocidental,BR4306,Sudoeste Rio-Grandense,0,78499,IBGE (2015), ,,0
BR430045,Alegria,4300455,172.688,BR43,RS,BR43008,Ijuí,BR4301,Noroeste Rio-Grandense,0,4135,IBGE (2015), ,,0
BR430047,Almirante Tamandaré do Sul,4300471,265.368,BR43,RS,BR43009,Carazinho,BR4301,Noroeste Rio-Grandense,0,2091,IBGE (2015),Interior Sul,Integral,1
BR430050,Alpestre,4300505,324.639,BR43,RS,BR43003,Frederico Westphalen,BR4301,Noroeste Rio-Grandense,0,7640,IBGE (2015),Interior Sul,Integral,1
BR430055,Alto Alegre,4300554,114.445,BR43,RS,BR43011,Cruz Alta,BR4301,Noroeste Rio-Grandense,0,1828,IBGE (2015),Interior Sul,Integral,1
BR430063,Amaral Ferrador,4300638,506.457,BR43,RS,BR43032,Serras de Sudeste,BR4307,Sudeste Rio-Grandense,0,6778,IBGE (2015),Litoral Sul,Integral,1
BR430064,Ametista do Sul,4300646,93.49,BR43,RS,BR43003,Frederico Westphalen,BR4301,Noroeste Rio-Grandense,0,7569,IBGE (2015),Interior Sul,Integral,1
BR430070,Anta Gorda,4300703,242.964,BR43,RS,BR43014,Guaporé,BR4302,Nordeste Rio-Grandense,0,6222,IBGE (2015), ,,0
BR430085,Arambaré,4300851,519.124,BR43,RS,BR43028,Camaquã,BR4305,Metropolitana de Porto Alegre,0,3762,IBGE (2015),Litoral Sul,Integral,1
BR430090,Aratiba,4300901,342.504,BR43,RS,BR43004,Erechim,BR4301,Noroeste Rio-Grandense,0,6641,IBGE (2015),Interior Sul,Integral,1
BR430100,Arroio do Meio,4301008,157.957,BR43,RS,BR43021,Lajeado-Estrela,BR4304,Centro Oriental Rio-Grandense,0,20045,IBGE (2015),Litoral Sul,Integral,1
BR430107,Arroio do Padre,4301073,124.317,BR43,RS,BR43033,Pelotas,BR4307,Sudeste Rio-Grandense,0,2883,IBGE (2015),Litoral Sul,Integral,1
BR430110,Arroio dos Ratos,4301107,425.933,BR43,RS,BR43025,São Jerônimo,BR4305,Metropolitana de Porto Alegre,0,14197,IBGE (2015),Litoral Sul,Integral,1
BR430120,Arroio do Tigre,4301206,316.509,BR43,RS,BR43020,Santa Cruz do Sul,BR4304,Centro Oriental Rio-Grandense,0,13316,IBGE (2015),Interior Sul,Integral,1
BR430130,Arroio Grande,4301305,2513.597,BR43,RS,BR43034,Jaguarão,BR4307,Sudeste Rio-Grandense,0,18949,IBGE (2015), ,,0
BR430140,Arvorezinha,4301404,271.643,BR43,RS,BR43014,Guaporé,BR4302,Nordeste Rio-Grandense,0,10595,IBGE (2015), ,,0
BR430150,Augusto Pestana,4301503,347.722,BR43,RS,BR43008,Ijuí,BR4301,Noroeste Rio-Grandense,0,7145,IBGE (2015), ,,0
BR430155,Áurea,4301552,158.291,BR43,RS,BR43004,Erechim,BR4301,Noroeste Rio-Grandense,0,3732,IBGE (2015),Interior Sul,Integral,1
BR430160,Bagé,4301602,4093.582,BR43,RS,BR43031,Campanha Meridional,BR4306,Sudoeste Rio-Grandense,0,121749,IBGE (2015), ,,0
BR430170,Barão de Cotegipe,4301701,260.212,BR43,RS,BR43004,Erechim,BR4301,Noroeste Rio-Grandense,0,6754,IBGE (2015),Interior Sul,Integral,1
BR430175,Barão do Triunfo,4301750,436.395,BR43,RS,BR43025,São Jerônimo,BR4305,Metropolitana de Porto Alegre,0,7388,IBGE (2015),Litoral Sul,Integral,1
BR430185,Barra do Guarita,4301859,63.372,BR43,RS,BR43002,Três Passos,BR4301,Noroeste Rio-Grandense,0,3236,IBGE (2015), ,,0
BR430187,Barra do Quaraí,4301875,1054.448,BR43,RS,BR43029,Campanha Ocidental,BR4306,Sudoeste Rio-Grandense,0,4201,IBGE (2015), ,,0
BR430192,Barra do Rio Azul,4301925,147.139,BR43,RS,BR43004,Erechim,BR4301,Noroeste Rio-Grandense,0,1952,IBGE (2015),Interior Sul,Integral,1
BR430195,Barra Funda,4301958,60.033,BR43,RS,BR43009,Carazinho,BR4301,Noroeste Rio-Grandense,0,2497,IBGE (2015),Interior Sul,Integral,1
BR430200,Barros Cassal,4302006,648.896,BR43,RS,BR43013,Soledade,BR4301,Noroeste Rio-Grandense,0,11482,IBGE (2015), ,,0
BR430205,Benjamin Constant do Sul,4302055,132.395,BR43,RS,BR43004,Erechim,BR4301,Noroeste Rio-Grandense,0,2264,IBGE (2015),Interior Sul,Integral,1
BR430215,Boa Vista das Missões,4302154,194.815,BR43,RS,BR43009,Carazinho,BR4301,Noroeste Rio-Grandense,0,2170,IBGE (2015),Interior Sul,Integral,1
BR430220,Boa Vista do Buricá,4302204,108.732,BR43,RS,BR43002,Três Passos,BR4301,Noroeste Rio-Grandense,0,6815,IBGE (2015), ,,0
BR430222,Boa Vista do Cadeado,4302220,700.533,BR43,RS,BR43011,Cruz Alta,BR4301,Noroeste Rio-Grandense,0,2523,IBGE (2015), ,,0
BR430223,Boa Vista do Incra,4302238,503.471,BR43,RS,BR43011,Cruz Alta,BR4301,Noroeste Rio-Grandense,0,2559,IBGE (2015), ,,0
BR430225,Boa Vista do Sul,4302253,92.926,BR43,RS,BR43016,Caxias do Sul,BR4302,Nordeste Rio-Grandense,0,2859,IBGE (2015),Litoral Sul,Integral,1
BR430237,Bom Progresso,4302378,88.741,BR43,RS,BR43002,Três Passos,BR4301,Noroeste Rio-Grandense,0,2261,IBGE (2015),Interior Sul,Integral,1
BR430240,Bom Retiro do Sul,4302402,102.326,BR43,RS,BR43021,Lajeado-Estrela,BR4304,Centro Oriental Rio-Grandense,0,12110,IBGE (2015),Litoral Sul,Integral,1
BR430245,Boqueirão do Leão,4302451,265.521,BR43,RS,BR43021,Lajeado-Estrela,BR4304,Centro Oriental Rio-Grandense,0,7912,IBGE (2015), ,,0
BR430250,Bossoroca,4302501,1610.573,BR43,RS,BR43007,Santo Ângelo,BR4301,Noroeste Rio-Grandense,0,6873,IBGE (2015), ,,0
BR430258,Bozano,4302584,201.039,BR43,RS,BR43008,Ijuí,BR4301,Noroeste Rio-Grandense,0,2238,IBGE (2015), ,,0
BR430260,Braga,4302600,128.992,BR43,RS,BR43002,Três Passos,BR4301,Noroeste Rio-Grandense,0,3688,IBGE (2015),Interior Sul,Integral,1
BR430265,Brochier,4302659,105.381,BR43,RS,BR43023,Montenegro,BR4305,Metropolitana de Porto Alegre,0,4952,IBGE (2015), ,,0
BR430270,Butiá,4302709,752.187,BR43,RS,BR43025,São Jerônimo,BR4305,Metropolitana de Porto Alegre,0,21192,IBGE (2015), ,,0
BR430280,Caçapava do Sul,4302808,3047.113,BR43,RS,BR43032,Serras de Sudeste,BR4307,Sudeste Rio-Grandense,0,34654,IBGE (2015),Litoral Sul,Integral,1
BR430290,Cacequi,4302907,2369.949,BR43,RS,BR43018,Santa Maria,BR4303,Centro Ocidental Rio-Grandense,0,13685,IBGE (2015), ,,0
BR430300,Cachoeira do Sul,4303004,3735.164,BR43,RS,BR43022,Cachoeira do Sul,BR4304,Centro Oriental Rio-Grandense,0,85712,IBGE (2015),Litoral Sul,Integral,1
BR430320,Cacique Doble,4303202,203.797,BR43,RS,BR43005,Sananduva,BR4301,Noroeste Rio-Grandense,0,5080,IBGE (2015),Interior Sul,Integral,1
BR430330,Caibaté,4303301,260.31,BR43,RS,BR43006,Cerro Largo,BR4301,Noroeste Rio-Grandense,0,5058,IBGE (2015), ,,0
BR430340,Caiçara,4303400,189.203,BR43,RS,BR43003,Frederico Westphalen,BR4301,Noroeste Rio-Grandense,0,5104,IBGE (2015),Interior Sul,Integral,1
BR430350,Camaquã,4303509,1679.434,BR43,RS,BR43028,Camaquã,BR4305,Metropolitana de Porto Alegre,0,65835,IBGE (2015),Litoral Sul,Integral,1
BR430355,Camargo,4303558,138.069,BR43,RS,BR43010,Passo Fundo,BR4301,Noroeste Rio-Grandense,0,2718,IBGE (2015), ,,0
BR430370,Campina das Missões,4303707,225.576,BR43,RS,BR43006,Cerro Largo,BR4301,Noroeste Rio-Grandense,0,6070,IBGE (2015), ,,0
