idcidade,Municipio,idm_ioibge,Area_MUN,idestado,estado,idmicro,mic_regiao,idmeso,mes_regiao,capital,populacao,fonte,NomeDSEI,StatusDSEI,NumDSEI
BR411150,Ivaiporã,4111506,431.502,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,32710,IBGE (2015),Interior Sul,Integral,1
BR411155,Ivaté,4111555,410.907,BR41,PR,BR41002,Umuarama,BR4101,Noroeste Paranaense,0,8013,IBGE (2015), ,,0
BR411160,Ivatuba,4111605,96.661,BR41,PR,BR41008,Floraí,BR4103,Norte Central Paranaense,0,3201,IBGE (2015), ,,0
BR411210,Jandaia do Sul,4112108,187.6,BR41,PR,BR41010,Apucarana,BR4103,Norte Central Paranaense,0,21203,IBGE (2015), ,,0
BR411220,Janiópolis,4112207,335.65,BR41,PR,BR41004,Goioerê,BR4102,Centro Ocidental Paranaense,0,6114,IBGE (2015), ,,0
BR411240,Japurá,4112405,165.185,BR41,PR,BR41003,Cianorte,BR4101,Noroeste Paranaense,0,9167,IBGE (2015), ,,0
BR411250,Jardim Alegre,4112504,410.48,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,12191,IBGE (2015), ,,0
BR411260,Jardim Olinda,4112603,128.515,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,1409,IBGE (2015), ,,0
BR411275,Jesuítas,4112751,247.496,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,8964,IBGE (2015), ,,0
BR411295,Juranda,4112959,349.722,BR41,PR,BR41004,Goioerê,BR4102,Centro Ocidental Paranaense,0,7697,IBGE (2015), ,,0
BR411300,Jussara,4113007,210.869,BR41,PR,BR41003,Cianorte,BR4101,Noroeste Paranaense,0,6963,IBGE (2015), ,,0
BR411310,Kaloré,4113106,193.299,BR41,PR,BR41012,Faxinal,BR4103,Norte Central Paranaense,0,4438,IBGE (2015), ,,0
BR411325,Laranjal,4113254,559.439,BR41,PR,BR41028,Pitanga,BR4108,Centro-Sul Paranaense,0,6292,IBGE (2015),Interior Sul,Integral,1
BR411330,Laranjeiras do Sul,4113304,672.084,BR41,PR,BR41029,Guarapuava,BR4108,Centro-Sul Paranaense,0,32133,IBGE (2015),Interior Sul,Integral,1
BR411342,Lidianópolis,4113429,154.361,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,3774,IBGE (2015), ,,0
BR411345,Lindoeste,4113452,361.367,BR41,PR,BR41023,Cascavel,BR4106,Oeste Paranaense,0,5187,IBGE (2015), ,,0
BR411350,Loanda,4113502,722.496,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,22603,IBGE (2015), ,,0
BR411360,Lobato,4113601,240.904,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,4690,IBGE (2015), ,,0
BR411373,Luiziana,4113734,908.601,BR41,PR,BR41005,Campo Mourão,BR4102,Centro Ocidental Paranaense,0,7471,IBGE (2015), ,,0
BR411375,Lunardelli,4113759,199.213,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,5127,IBGE (2015), ,,0
BR411380,Lupionópolis,4113809,121.066,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,4859,IBGE (2015), ,,0
BR411400,Mamborê,4114005,788.061,BR41,PR,BR41005,Campo Mourão,BR4102,Centro Ocidental Paranaense,0,13943,IBGE (2015), ,,0
BR411410,Mandaguaçu,4114104,294.019,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,21672,IBGE (2015), ,,0
